"","poll_id","state","state.name","pollster","numeric_grade","end_date","sample_size","population","DEM","REP","days.until"
"93",80963,"RI","Rhode Island","Fleming & Associates",1.9,2022-10-02,402,"lv",49,32,765
"94",80965,"IA","Iowa","Emerson",2.9,2022-10-04,959,"lv",38.8,47,763
"95",80976,"OK","Oklahoma","SoonerPoll.com",1.8,2022-10-06,301,"lv",40.8,52.7,761
"96",81008,"GA","Georgia","Emerson",2.9,2022-10-07,1000,"lv",43.4,45.2,760
"97",81015,"NC","North Carolina","PPP",1.4,2022-10-08,606,"rv",44,44,759
"98",81035,"OH","Ohio","Emerson",2.9,2022-10-07,1000,"lv",38.7,48.35,760
"99",81062,"IL","Illinois","PPP",1.4,2022-10-11,770,"lv",51,42,756
"100",81106,"MI","Michigan","Emerson",2.9,2022-10-14,580,"lv",43.7,44.4,753
"101",81116,"OH","Ohio","Ohio Northern University Institute for Civics and Public Policy",1.5,2022-10-15,668,"lv",35.18,55.4,752
"102",81158,"NY","New York","SurveyUSA",2.8,2022-10-18,1018,"rv",42,37,749
"103",81166,"FL","Florida","Florida Atlantic University",2,2022-10-16,719,"lv",41.4,45.1,751
"104",81187,"NV","Nevada","Rasmussen",2.1,2022-10-17,707,"lv",37,49,750
"105",81210,"TX","Texas","Emerson",2.9,2022-10-19,1000,"lv",40.4,47.4,748
"106",81231,"NH","New Hampshire","Emerson",2.9,2022-10-19,727,"lv",44.3,42.7,748
"107",81242,"CT","Connecticut","Emerson",2.9,2022-10-21,1000,"lv",49.4,40,746
"108",81275,"SD","South Dakota","Emerson",2.9,2022-10-21,1500,"lv",32.6,53.1,746
"109",81279,"IL","Illinois","Emerson",2.9,2022-10-24,1000,"lv",49,37.1,743
"110",81307,"GA","Georgia","Rasmussen",2.1,2022-10-24,1053,"lv",39,47,743
"111",81337,"NY","New York","Emerson",2.9,2022-10-24,1000,"lv",47.1,39.7,743
"112",81374,"UT","Utah","Emerson",2.9,2022-10-28,825,"lv",33.6,47,739
"113",81375,"OK","Oklahoma","Emerson",2.9,2022-10-28,1000,"lv",30,58.7,739
"114",81389,"NM","New Mexico","Emerson",2.9,2022-10-28,1000,"lv",47.9,38.2,739
"115",81404,"CO","Colorado","Emerson",2.9,2022-10-29,1000,"lv",46.6,39.4,738
"116",81405,"MO","Missouri","Emerson",2.9,2022-10-28,1000,"lv",36.5,52.9,739
"117",81419,"NY","New York","Emerson",2.9,2022-10-31,1000,"lv",51.6,36.9,736
"118",81437,"NV","Nevada","Susquehanna",2.3,2022-10-27,500,"lv",44.5,47,740
"119",81438,"KS","Kansas","Emerson",2.9,2022-10-29,1000,"lv",36.8,50.4,738
"120",81445,"WI","Wisconsin","Emerson",2.9,2022-10-29,1000,"lv",44.2,42.9,738
"121",81451,"NC","North Carolina","Emerson",2.9,2022-10-29,1000,"lv",40.1,50.6,738
"122",81464,"MO","Missouri","SurveyUSA",2.8,2022-11-01,991,"rv",34,52,735
"123",81468,"PA","Pennsylvania","Emerson",2.9,2022-10-31,1000,"lv",44.2,44.3,736
"124",81471,"MI","Michigan","Emerson",2.9,2022-10-31,900,"lv",44.4,46.7,736
"125",81486,"NH","New Hampshire","U. Massachusetts - Lowell",2.9,2022-10-25,600,"lv",49,43,742
"126",81487,"MA","Massachusetts","U. Massachusetts - Lowell",2.9,2022-10-25,1000,"lv",58,32,742
"127",81488,"GA","Georgia","Emerson",2.9,2022-10-31,1000,"lv",43.8,46.9,736
"128",81519,"NH","New Hampshire","Emerson",2.9,2022-11-01,850,"lv",45.2,40.7,735
"129",81521,"AZ","Arizona","Emerson",2.9,2022-11-01,1000,"lv",42,46.2,735
"130",81540,"OH","Ohio","Emerson",2.9,2022-11-01,1000,"lv",38.2,50.3,735
"131",81544,"OR","Oregon","Emerson",2.9,2022-11-01,975,"lv",50.7,35.3,735
"132",81625,"GA","Georgia","Targoz Market Research",1.8,2022-11-06,579,"lv",43,52,730
"133",81625,"GA","Georgia","Targoz Market Research",1.8,2022-11-06,810,"rv",41,52,730
"134",81626,"AZ","Arizona","Targoz Market Research",1.8,2022-11-06,560,"lv",45,53,730
"135",81626,"AZ","Arizona","Targoz Market Research",1.8,2022-11-06,809,"rv",41,54,730
"136",81627,"PA","Pennsylvania","Targoz Market Research",1.8,2022-11-06,631,"lv",46,52,730
"137",81627,"PA","Pennsylvania","Targoz Market Research",1.8,2022-11-06,904,"rv",48,48,730
"138",81628,"OH","Ohio","Targoz Market Research",1.8,2022-11-06,505,"lv",40,57,730
"139",81628,"OH","Ohio","Targoz Market Research",1.8,2022-11-06,814,"rv",37,56,730
"140",81636,"NY","New York","SurveyUSA",2.8,2022-11-06,918,"rv",46,34,730
"141",81693,"FL","Florida","Victory Insights",1.3,2022-11-17,600,"lv",49.2,50.8,719
"142",81734,"GA","Georgia","Emerson",2.9,2022-11-30,888,"lv",43.25,45,706
"143",81747,"AZ","Arizona","Rasmussen",2.1,2022-11-09,874,"lv",47,45,727
"144",81748,"FL","Florida","Rasmussen",2.1,2022-11-09,1224,"lv",40,49,727
"145",81749,"NV","Nevada","Rasmussen",2.1,2022-11-09,679,"lv",41,45,727
"146",81756,"GA","Georgia","U. Massachusetts - Lowell",2.9,2022-11-28,1300,"lv",46.5,45,708
"147",81796,"MI","Michigan","EPIC/MRA",1.9,2022-12-06,600,"lv",47,43,700
"148",81798,"MI","Michigan","PPP",1.4,2022-12-07,763,"v",50,43,699
"149",81967,"AZ","Arizona","Blueprint Polling",2.4,2023-01-08,618,"v",36.1,40.75,667
"150",82054,"NC","North Carolina","Differentiators",NA,2023-01-12,500,"lv",46.1,46.7,663
"151",82071,"NH","New Hampshire","co/efficient",1.1,2023-01-26,1179,"lv",38,43.5,649
"152",82144,"NV","Nevada","OH Predictive Insights / MBQF",2.4,2023-02-06,800,"rv",38,42,638
"153",82213,"AZ","Arizona","OH Predictive Insights / MBQF",2.4,2023-02-09,1000,"rv",37,36.5,635
"154",82257,"FL","Florida","Cherry Communications",1,2023-02-19,608,"lv",38,49,625
"155",82258,"CA","California","UC Berkeley",2.5,2023-02-20,5149,"lv",57.5,31.5,624
"156",82258,"CA","California","UC Berkeley",2.5,2023-02-20,7512,"rv",55.5,29,624
"157",82299,"VA","Virginia","Roanoke College",2.6,2023-02-21,590,"rv",43,49.6666666666667,623
"158",82299,"VA","Virginia","Roanoke College",2.6,2023-02-21,680,"a",43.3333333333333,48.6666666666667,623
"159",82305,"PA","Pennsylvania","Susquehanna",2.3,2023-02-26,800,"rv",48,41,618
"160",82337,"NH","New Hampshire","Emerson",2.9,2023-03-05,1025,"rv",39.8333333333333,39.4666666666667,611
"161",82349,"FL","Florida","U. North Florida",2.8,2023-03-07,1452,"rv",42.5,50.5,609
"162",82402,"FL","Florida","Emerson",2.9,2023-03-15,1153,"rv",43.75,44.85,601
"163",82403,"AZ","Arizona","Rasmussen",2.1,2023-03-14,1001,"lv",39,50,602
"164",82423,"FL","Florida","Metropolitan Research",NA,2023-03-19,1001,"rv",43,47,597
"165",82483,"NC","North Carolina","Cygnal",2.1,2023-03-27,605,"lv",42.6,42.1333333333333,589
"166",82562,"IA","Iowa","Cygnal",2.1,2023-04-04,600,"lv",39.25,47.4,581
"167",82601,"PA","Pennsylvania","Franklin and Marshall College",2.4,2023-04-07,643,"rv",36,35,578
"168",82609,"AZ","Arizona","Public Opinion Strategies",1.6,2023-04-13,500,"rv",43.5,46,572
"169",82610,"PA","Pennsylvania","Public Opinion Strategies",1.6,2023-04-13,500,"rv",44,43.5,572
"170",82655,"MI","Michigan","Public Opinion Strategies",1.6,2023-04-19,500,"rv",44,43.5,566
"171",82658,"WI","Wisconsin","Public Opinion Strategies",1.6,2023-04-20,500,"rv",46.5,45,565
"172",82661,"NV","Nevada","Public Opinion Strategies",1.6,2023-04-20,500,"rv",43.5,44.5,565
"173",82678,"TX","Texas","CWS Research",1.6,2023-04-21,677,"lv",41,44.5,564
"174",82707,"NV","Nevada","Noble Predictive Insights",2.4,2023-04-26,613,"rv",45.5,41,559
"175",82708,"GA","Georgia","Public Opinion Strategies",1.6,2023-04-27,500,"rv",43,45,558
"176",82726,"TN","Tennessee","SSRS",2.4,2023-04-23,501,"rv",24,33,562
"177",82726,"TN","Tennessee","SSRS",2.4,2023-04-23,502,"rv",26,42,562
"178",82788,"PA","Pennsylvania","Susquehanna",2.3,2023-05-08,700,"lv",45,38.5,547
"179",82804,"CO","Colorado","Public Opinion Strategies",1.6,2023-05-09,500,"lv",46.5,40,546
"180",82805,"MN","Minnesota","Public Opinion Strategies",1.6,2023-05-08,500,"lv",46.5,41.5,547
"181",82806,"NM","New Mexico","Public Opinion Strategies",1.6,2023-05-08,500,"lv",47,40.5,547
"182",82807,"VA","Virginia","Public Opinion Strategies",1.6,2023-05-09,500,"lv",46,42.5,546
"183",82846,"GA","Georgia","Public Opinion Strategies",1.6,2023-05-17,500,"rv",43.3333333333333,43.6666666666667,538
"184",82847,"AZ","Arizona","Public Opinion Strategies",1.6,2023-05-17,500,"rv",44.6666666666667,44.6666666666667,538
"185",82854,"KY","Kentucky","co/efficient",1.1,2023-05-19,987,"lv",33,57,536
"186",82878,"TX","Texas","Texas Hispanic Policy Foundation",NA,2023-05-17,1000,"rv",40.75,44.75,538
"187",82880,"IA","Iowa","Emerson",2.9,2023-05-22,1064,"rv",38.1,47,533
"188",82890,"NV","Nevada","VoteTXT",NA,2023-05-19,412,"rv",38.495,47.395,536
"189",82937,"NV","Nevada","McLaughlin",0.5,2023-05-24,400,"lv",47,48,531
"190",82938,"CA","California","PPIC",2.5,2023-05-24,1062,"lv",58,25,531
"191",82951,"VA","Virginia","Roanoke College",2.6,2023-05-23,678,"a",54,38,532
"192",82972,"NC","North Carolina","Opinion Diagnostics",NA,2023-06-07,902,"lv",40.3,44.25,517
"193",82975,"GA","Georgia","Cygnal",2.1,2023-06-07,600,"lv",41.4,42,517
"194",82983,"WA","Washington","PPP",1.4,2023-06-08,773,"lv",52,37.5,516
"195",82993,"CA","California","Emerson",2.9,2023-06-07,1056,"rv",53.6,30.05,517
"196",83002,"MD","Maryland","Gonzales Research & Media Services",1.2,2023-06-06,841,"rv",51.65,35.9,518
"197",83020,"MI","Michigan","EPIC/MRA",1.9,2023-06-14,600,"lv",44,44.5,510
"198",83042,"AZ","Arizona","Public Opinion Strategies",1.6,2023-06-19,500,"rv",43,45,505
"199",83043,"GA","Georgia","Public Opinion Strategies",1.6,2023-06-19,500,"rv",46.5,47,505
"200",83044,"PA","Pennsylvania","Public Opinion Strategies",1.6,2023-06-19,500,"rv",46.5,46.5,505
"201",83109,"NH","New Hampshire","St. Anselm",2.4,2023-06-23,1065,"rv",49,40,501
"202",83112,"NY","New York","Siena",2.7,2023-06-25,817,"rv",50,28,499
"203",83118,"WI","Wisconsin","Marquette Law School",3,2023-06-13,913,"rv",50.5,45,511
"204",83119,"PA","Pennsylvania","Quinnipiac",2.8,2023-06-26,1584,"rv",46,47,498
"205",83145,"TN","Tennessee","Targoz Market Research",1.8,2023-06-22,977,"lv",36,52,502
"206",83145,"TN","Tennessee","Targoz Market Research",1.8,2023-06-22,1046,"lv",34,54,502
"207",83145,"TN","Tennessee","Targoz Market Research",1.8,2023-06-22,1120,"rv",32,48.5,502
"208",83164,"NV","Nevada","Public Opinion Strategies",1.6,2023-07-06,500,"rv",45.5,44.5,488
"209",83169,"FL","Florida","Florida Atlantic University/Mainstreet Research",NA,2023-07-01,933,"a",37.5,49.1,493
"210",83200,"AZ","Arizona","Prime Group",NA,2023-06-28,500,"rv",48,52,496
"211",83201,"GA","Georgia","Prime Group",NA,2023-06-28,500,"rv",48,52,496
"212",83202,"MI","Michigan","Prime Group",NA,2023-06-28,500,"rv",50,50,496
"213",83203,"NC","North Carolina","Prime Group",NA,2023-06-28,500,"rv",46,54,496
"214",83204,"NV","Nevada","Prime Group",NA,2023-06-28,500,"rv",51,49,496
"215",83205,"PA","Pennsylvania","Prime Group",NA,2023-06-28,500,"rv",50,50,496
"216",83206,"WI","Wisconsin","Prime Group",NA,2023-06-28,500,"rv",53,47,496
"217",83207,"CA","California","PPIC",2.5,2023-06-29,1092,"lv",57,31,495
"218",83209,"MI","Michigan","Public Opinion Strategies",1.6,2023-07-10,500,"rv",44.5,45,484
"219",83215,"NH","New Hampshire","American Pulse",NA,2023-07-11,895,"lv",41.9,37.725,483
"220",83223,"OH","Ohio","Suffolk",2.9,2023-07-12,500,"rv",37.6,41.3,482
"221",83253,"MI","Michigan","Mitchell",2.4,2023-07-13,639,"lv",44.5,37,481
"222",83286,"AZ","Arizona","Public Opinion Strategies",1.6,2023-07-24,500,"rv",43,47.5,470
"223",83308,"OH","Ohio","Ohio Northern University Institute for Civics and Public Policy",1.5,2023-07-26,675,"rv",38.5833333333333,39.3,468
"224",83343,"VA","Virginia","Virginia Commonwealth U.",2.1,2023-07-25,804,"a",40.3333333333333,41.6666666666667,469
"225",83347,"MI","Michigan","Emerson",2.9,2023-08-02,1121,"rv",42.65,43.45,461
"226",83357,"AZ","Arizona","Emerson",2.9,2023-08-04,1337,"rv",41.9,43.25,459
"227",83390,"KY","Kentucky","PPP",1.4,2023-08-10,737,"v",34,55,453
"228",83400,"AK","Alaska","Alaska Survey Research",1.9,2023-07-21,1336,"lv",36,43,473
"229",83402,"NH","New Hampshire","Emerson",2.9,2023-08-11,837,"rv",46.1,40.05,452
"230",83918,"MI","Michigan","EPIC/MRA",1.9,2023-08-11,600,"lv",46,45,452
"231",83949,"NY","New York","Siena",2.7,2023-08-16,803,"rv",47,34,447
"232",83952,"IA","Iowa","HarrisX",1.5,2023-08-21,1952,"rv",41,47,442
"233",83965,"PA","Pennsylvania","Franklin and Marshall College",2.4,2023-08-20,723,"rv",42,40,443
"234",83991,"NM","New Mexico","PPP",1.4,2023-08-24,767,"rv",49,42,439
"235",84017,"VA","Virginia","Roanoke College",2.6,2023-08-15,702,"a",51,42,448
"236",84043,"IL","Illinois","Cor Strategies",NA,2023-08-27,811,"rv",54,35,436
"237",84056,"AL","Alabama","WPAi",1.7,2023-08-26,500,"rv",32,57,437
"238",84067,"MT","Montana","J.L. Partners",1.6,2023-08-17,741,"lv",37.5,50.5,446
"239",84085,"CA","California","UC Berkeley",2.5,2023-08-29,6030,"rv",51,31,434
"240",84119,"NC","North Carolina","Change Research",1.4,2023-09-05,914,"lv",42,46,427
"241",84123,"IA","Iowa","Emerson",2.9,2023-09-09,896,"rv",36.85,48.75,423
"242",84163,"GA","Georgia","Rasmussen",2.1,2023-09-11,1061,"lv",38,47,421
"243",84166,"MI","Michigan","Susquehanna",2.3,2023-09-12,700,"rv",47,42.5,420
"244",84175,"NY","New York","Siena",2.7,2023-09-13,804,"rv",52,31,419
"245",84194,"NH","New Hampshire","U. New Hampshire",2.6,2023-09-18,2018,"lv",48,29.7142857142857,414
"246",84211,"PA","Pennsylvania","National Public Affairs",NA,2023-09-17,622,"lv",47,45,415
"247",84252,"CA","California","PPIC",2.5,2023-09-05,1146,"lv",57,26,427
"248",84269,"VA","Virginia","Research America",0.7,2023-09-11,1000,"a",37.6666666666667,33.6666666666667,421
"249",84270,"MI","Michigan","PPP",1.4,2023-09-27,679,"rv",48,44,405
"250",84271,"PA","Pennsylvania","PPP",1.4,2023-09-26,673,"rv",48,45,406
"251",84272,"WI","Wisconsin","PPP",1.4,2023-09-26,673,"rv",48,44,406
"252",84304,"CA","California","Data Viewpoint",NA,2023-10-01,533,"rv",62.5,37.5,401
"253",84309,"MD","Maryland","Gonzales Research & Media Services",1.2,2023-09-28,818,"rv",55.4,32.6,404
"254",84317,"PA","Pennsylvania","Quinnipiac",2.8,2023-10-02,1725,"rv",45,47,400
"255",84321,"IA","Iowa","Cygnal",2.1,2023-09-29,506,"lv",36.2,47.45,403
"256",84322,"PA","Pennsylvania","Susquehanna",2.3,2023-09-28,700,"rv",45.5,45,404
"257",84337,"KY","Kentucky","Emerson",2.9,2023-10-03,450,"rv",26.3,54.6,399
"258",84366,"NV","Nevada","CNN/SSRS",2.8,2023-10-03,1251,"rv",46,45,399
"259",84367,"OH","Ohio","Emerson",2.9,2023-10-04,438,"rv",32.6,44.6,398
"260",84368,"OK","Oklahoma","Emerson",2.9,2023-10-03,447,"rv",27,55,399
"261",84369,"MI","Michigan","MRG (Marketing Resource Group)",1.8,2023-10-08,600,"lv",40.65,41,394
"262",84377,"PA","Pennsylvania","Emerson",2.9,2023-10-04,430,"rv",36.4,45.3,398
"263",84378,"ID","Idaho","Emerson",2.9,2023-10-04,490,"rv",25.8,54.5,398
"264",84379,"VA","Virginia","Change Research",1.4,2023-09-19,1437,"rv",41.3333333333333,39.3333333333333,413
"265",84380,"MT","Montana","Change Research",1.4,2023-09-19,1451,"rv",31.6666666666667,51.3333333333333,413
"266",84381,"OH","Ohio","Change Research",1.4,2023-09-19,1559,"rv",37.6666666666667,45,413
"267",84392,"WI","Wisconsin","Emerson",2.9,2023-10-04,532,"rv",39.5,42,398
"268",84395,"MO","Missouri","Emerson",2.9,2023-10-04,491,"rv",33,50.2,398
"269",84396,"KS","Kansas","Emerson",2.9,2023-10-04,487,"rv",31,47,398
"270",84399,"WV","West Virginia","Emerson",2.9,2023-10-04,539,"rv",22.5,59.3,398
"271",84400,"IN","Indiana","Emerson",2.9,2023-10-04,462,"rv",28.5,47.5,398
"272",84401,"IA","Iowa","Emerson",2.9,2023-10-04,464,"rv",33.8,43.5,398
"273",84402,"NE","Nebraska","Emerson",2.9,2023-10-04,423,"rv",30.9,46.8,398
"274",84410,"AZ","Arizona","Redfield & Wilton Strategies",1.8,2023-10-08,627,"lv",38,43,394
"275",84411,"FL","Florida","Redfield & Wilton Strategies",1.8,2023-10-08,1100,"lv",38,44,394
"276",84412,"GA","Georgia","Redfield & Wilton Strategies",1.8,2023-10-08,761,"lv",39,42,394
"277",84413,"MI","Michigan","Redfield & Wilton Strategies",1.8,2023-10-09,820,"lv",39.5,40.5,393
"278",84414,"NC","North Carolina","Redfield & Wilton Strategies",1.8,2023-10-08,736,"lv",38,42,394
"279",84415,"PA","Pennsylvania","Redfield & Wilton Strategies",1.8,2023-10-08,900,"lv",41,40.5,394
"280",84416,"ND","North Dakota","Emerson",2.9,2023-10-04,419,"rv",17,54,398
"281",84417,"SD","South Dakota","Emerson",2.9,2023-10-04,432,"rv",27.8,50.3,398
"282",84418,"IL","Illinois","Emerson",2.9,2023-10-04,468,"rv",43.4,33.7,398
"283",84419,"AR","Arkansas","Emerson",2.9,2023-10-04,435,"rv",24.4,56.6,398
"284",84421,"MN","Minnesota","Emerson",2.9,2023-10-04,477,"rv",39.8,37.8,398
"285",84422,"MI","Michigan","Emerson",2.9,2023-10-04,468,"rv",44.1,42.5,398
"286",84423,"CO","Colorado","Emerson",2.9,2023-10-04,442,"rv",41.8,37.6,398
